dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_spouse_feast_confirm_yes:spouse_pretalk|Wyślę zatem wiadomość, że przyjęcie odbędzie się, jak tylko sytuacja w królestwie na to pozwoli. Ty zajmij się zaopatrzeniem naszej spiżarni, abyśmy mogli wykazać się naszą gościnnością.
dlga_spouse_feast_confirm_yes:spouse_pretalk.1|Bardzo dobrze. Niech uczta rozpocznie się natychmiast na naszym dworze {reg4?tu:} w miejscowości {s9}. Ty zajmij się zaopatrzeniem naszej spiżarni, abyśmy mogli wykazać się naszą gościnnością. Możesz ogłosić dowolny termin zakończenia uczty - tak przez rozpoczęcie kampanii, jak i przez przykazanie swoim lennikom, by wrócili do swych domostw.
dlga_start:close_window.16|Czcigodny {s12} zgodził się, abyśmy mogli wrócić do naszych rodzin. Wyruszamy wkrótce.
dlga_start:close_window.17|Już wkrótce wyruszamy{s5}. Dobrze wiedzieć, że są jeszcze na świecie ludzie honorowi.
dlga_start:close_window.18|Cóż, {playername}, w pojedynku {s10} okazał się lepszy. Zgodnie z naszym zwyczajem i tradycją, przestajesz być moim gościem. Żegnaj, {playername}.
dlga_start:close_window.19|Ach, {playername}. Jak dobrze znów cię widzieć. Jednak obawiam się, że jestem potrzebny gdzie indziej.
dlga_start:kingdom_lady_captive|Moja samotność mnie przytłacza! Tak bardzo tęsknię za moją rodziną!
dlga_start:kingdom_lady_captive.1|To podłość, {panie/pani}, tak więzić damę...
dlga_start:kingdom_lady_captive.2|Dziwne. Byłeś mi niegdyś życzliwy, a mimo to, teraz więzisz mnie wbrew mojej woli.
dlga_start:kingdom_lady_captive.3|Dlaczego moja rodzina nie zapłaciła okupu? Może i jestem twoim więźniem, ale najwidoczniej tobie bardziej zależy na mnie niż mojej rodzinie!
dlga_lady_stranded_next:close_window|Pozdrowienia, {panie/ma pani}. Wojenna zawierucha przygnała mnie do tej twierdzy, lecz niedługo zamierzam ją opuścić.
dlga_start:lady_talk_refugee|{playername}, zakładam, że jako człowiek honoru, zezwolisz członkiniom szlacheckiego rodu powrócić do rodzin, nie domagając się okupu.
dlga_start:lady_escort_lady_succeeded|Dziękuję za przyprowadzenie mnie tutaj, {playername}. Przyjmij ten podarunek jako dowód mojej wdzięczności. Mam nadzieję, że jeszcze kiedyś się spotkamy.
dlga_lady_escort_lady_succeeded:close_window|Służba dla ciebie była dla mnie zaszczytem, {s65}.
dlga_start:close_window.20|Tam! Widzę w oddali mury. To {s3}! Dotarliśmy szczęśliwie. Proszę, weź tę sakiewkę, jest w niej {reg3} denarów, zgodnie z obietnicą. Mam nadzieję, że jeszcze kiedyś będziemy razem podróżować.
dlga_lady_talk_refugee:close_window|Oczywiście, moja damo.
dlga_lady_talk_refugee:lady_captive_talk|Przyjmujesz błędne założenia.
dlga_lady_captive_talk:lady_captive_confirm|Co?! Co to niby ma być?
dlga_lady_captive_confirm:close_window|Wybacz, pani. Musiałaś mnie źle zrozumieć. Oczywiście, że możecie odjechać.
dlga_lady_captive_confirm:close_window.1|Skontaktuj się z rodziną w sprawie okupu, moja damo.
dlga_kingdom_lady_captive:close_window|Zatem napisz do rodziny i poproś ich, żeby się pospieszyli z okupem.
dlga_kingdom_lady_captive:close_window.1|Zmieniam zdanie - jesteś wolna, pani.
dlga_start:close_window.21|Znikaj, zanim stracę cierpliwość, ty ohydny żebraku!
dlga_start:lady_duel_lost|Och, {playername}, doszły mnie słuchy o pojedynku, jaki stoczył z tobą {s10}. Żałuję, że w ogóle stanęliście ze sobą do walki, ponieważ, jak każe nasz zwyczaj i tradycja, przegrywając z nim, odcinasz się ode mnie. Żegnaj, {playername}.
dlga_lady_duel_lost:close_window|Cóż, musimy zrobić tak, jak nakazuje tradycja. Żegnaj, moja pani.
dlga_lady_duel_lost:lady_duel_lost_flaunt_conventions|Do licha z honorem i tradycją!
dlga_lady_duel_lost_flaunt_conventions:close_window|Och, {playername}! Choć ludzie na pewno będą gadać, moje serce nie wytrzyma rozłąki. Dajmy spokój tej śmiesznej, okrutnej tradycji.
dlga_lady_duel_lost_flaunt_conventions:close_window.1|Nie, {playername}, nie mogę narazić na szwank mojego dobrego imienia, podobnie zresztą jak i ty.
dlga_start:lady_start|Och, {playername}, słyszałam, że {s10} musiał uznać twoją wyższość w pojedynku. Jestem wdzięczna, że wyrwałeś mnie ze szponów tego człowieka!
dlga_start:lady_start.1|Cóż, {playername}, {s10} musiał uznać twoją wyższość w pojedynku. Widać nie godny był mych względów.
dlga_lady_duel_rep_1:lady_start|Cóż, {playername}, {s10} musiał uznać twoją wyższość w pojedynku. Cóż za głupstwo, tak się o mnie bić! Ach... Z drugiej strony, jakie to romantyczne.
dlga_lady_duel_rep_2:lady_start|Cóż, {playername}, {s10} musiał uznać twoją wyższość w pojedynku. Honor nakazuje, abym już nigdy go nie spotkała. Lubiłam go. Walcząc z nim, panie, nie wyświadczyłeś mi przysługi.
dlga_start:lady_qst_duel_for_lady_succeeded_1|Och, {playername}, jak dobrze znów cię widzieć! Doszły mnie słuchy, że {s13} dostał zasłużoną lekcję. Mam nadzieję, że nigdy nie zapomni tego upokorzenia. Mam dla ciebie nagrodę, ale obawiam się, że jest nieduża w stosunku do tego, co udało ci się dla mnie zrobić.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Och, to będzie musiało wystarczyć.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.1|{s66}, to o wiele za dużo!
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.2|Proszę, {s65}, nagroda jest niepotrzebna.
dlga_lady_qst_duel_for_lady_succeeded_2:lady_pretalk|{s10}
dlga_start:lady_qst_duel_for_lady_failed|Powiedziano mi, że szukasz zadośćuczynienia ze strony osoby o imieniu {s13}, aby udowodnić moją niewinność, {playername}. To był piękny gest i dziękuję ci za twoje wysiłki.
dlga_lady_qst_duel_for_lady_failed:lady_qst_duel_for_lady_failed_2|Błagam o wybaczenie za moją porażkę, {s65}...
dlga_lady_qst_duel_for_lady_failed_2:lady_pretalk|To nieważne, {playername}. Próba też jest ważna. Prawdy nie można udowodnić ostrzem miecza, lecz twoje życie znalazło się w niebezpieczeństwie dla mojego honoru. Już samo to, przekona wiele osób o mojej niewinności.
dlga_start:lady_start.2|Ach, {playername}, moja wiadomość musiała do ciebie dotrzeć. Tak bardzo się cieszę z twego przybycia!
dlga_start:lady_proposal_pending|{playername}, czy nadeszły jakieś wieści od mojej rodziny?
dlga_start:lady_betrothed|Doszły mnie słuchy, że {s11} nie zgodził się, abym została twoją żoną. Czy to oznacza, że musimy się rozstać?
dlga_start:lady_generic_mission_succeeded|Och, {playername}, udało ci się go do mnie przyprowadzić! Mój {s11} żyje! Dziękuję ci tak bardzo za jego uratowanie. Proszę, przyjmij to jako dowód wdzięczności za twój szlachetny czyn.
dlga_start:rescue_prisoner_succeed_1|Och, {playername}, udało ci się go do mnie przyprowadzić! Mój {s11} żyje! Dziękuję ci tak bardzo za jego uratowanie. Proszę, przyjmij to jako dowód wdzięczności za twój szlachetny czyn.
dlga_rescue_prisoner_succeed_1:lady_pretalk|Zawsze służę z honorem, {s65}.
dlga_start:lady_meet_end|Ty musisz być {playername}. Mieliśmy zaszczyt przyglądać się twoim dokonaniom na ostatnim turnieju{s8}.
dlga_start:lady_meet_end.1|Ty musisz być {playername}. Mój {s15}, {s16}, wyrażał się o tobie w samych superlatywach. Cieszę się, że mogę cię poznać.
dlga_start:lady_premeet|Wiesz, nie wyglądasz znajomo...
dlga_start:close_window.22|Przybywasz w samą porę. Połączmy siły i dajmy nauczkę naszemu wrogowi.
dlga_start:lady_start.3|{playername}, jak dobrze cię wiedzieć. (Szeptem:) Wciąż dobrze wspominam twoją ostatnią wizytę.
dlga_start:lady_meet_end.2|Ach, {playername}, jak dobrze było widzieć twoje wyczyny na ostatnim turnieju.
dlga_start:lady_start.4|{s12}
dlga_lady_start:lady_betrothed|Mam smutne wieści. Wbrew mojej woli, {s5} został moim narzeczonym! Och, {playername}, dużo bardziej wolałabym być z tobą!
dlga_lady_start:lady_betrothed.1|{playername}, {s5} został moim narzeczonym. Zdaje mi się, że nasze spotkania powinny się zakończyć.
dlga_lady_start:lady_other_suitor|Muszę ci zdradzić, że znalazł się kolejny lord, który jest mną zainteresowany, choć sama nie mogę go znieść. Obawiam się, że ma wobec mnie jakieś plany i może próbować zmusić mnie do małżeństwa wbrew mojej woli.
dlga_lady_start:lady_talk|{s11}Obawiam się, że nie wypada nam kontynuować tej rozmowy, ale mam nadzieję, że wkrótce zobaczymy się ponownie.
dlga_lady_start:lady_talk.1|{s11}
dlga_lady_start:lady_talk.2|Chciałam udać się na spoczynek, ale być może będzie nam dane porozmawiać później...
dlga_lady_start:lady_talk.3|To cudowne, że mamy szansę spędzać razem czas.{s12}
dlga_lady_start:lady_talk.4|Co cię tu dziś sprowadza?
dlga_lady_proposal_pending:close_window|Na razie cisza...
dlga_lady_proposal_pending:lady_proposal_pending_end|Po głębszym zastanowieniu się, to chyba nie jest najlepszy moment na branie ślubu
dlga_lady_proposal_pending_end:close_window|{s11}
dlga_lady_betrothed:lady_suggest_elope|Nigdy! Musimy uciec stąd bezzwłocznie!
dlga_lady_betrothed:lady_pretalk|Być może będę w stanie sprawić, aby {s11} zmienił zdanie. 
dlga_lady_betrothed:lady_conclude_relationship|Zgoda, rozstańmy się.
dlga_lady_suggest_elope:lady_conclude_relationship|{playername}, jesteś dobrą i łaskawą osobą, ale dama nie może zdradzić swojej rodziny. Takich rzeczy się nie robi!
dlga_lady_suggest_elope:lady_other_suitor|Panie, jak zapewne wiesz, przyjmowałam konkury licznych dżentelmenów takich jak ty. Nie jestem jeszcze na etapie, w którym mogłabym podjąć decyzję.
dlga_lady_suggest_elope:lady_conclude_relationship.1|Ach, {playername}, musisz zdać sobie z tego sprawę. Wciąż starasz się odnaleźć swoją drogę. Darzę cię wielkim uczuciem, {playername}, ale nie mogę się skazać na potępienie.
dlga_lady_suggest_elope:lady_conclude_relationship.2|Ach, {playername}, choć jesteś dla mnie miły, nie mam pewności co do twojej moralności, aby zaryzykować takie posunięcie. Choć znikomym uczuciem darzę mego męża, byłoby szaleństwem sprzeciwiać się woli mojej rodziny. A co się tyczy ciebie, sama nie jestem pewna, czy podjąłbyś ten krok.
dlga_lady_suggest_elope:lady_conclude_relationship.3|{playername}, ucieczka wiązałaby się z zerwaniem moich więzów rodzinnych, które są dla mnie wszystkim! Jesteś mi drogi, ale nie mam pewności, czy jestem przygotowana na podjęcie takiego ryzyka.
dlga_lady_suggest_elope:lady_conclude_relationship.4|{playername}, nie przywykłam do trudów wypraw tak jak ty. Chcę mieć dom, który mogłabym nazwać własnym. Gdybyś był panem zamku lub miasta  z własnym dworem, z radością udałabym się tam jako twoja żona i gospodyni. Nie chcę żyć jak nękane zwierze.
dlga_lady_suggest_elope:lady_elope_agree|Uciec z tobą? Tak, moglibyśmy to zrobić. To milowy krok na drodze do rozłąki z moją rodziną, ale małżeństwo bez uczuć i życie bez ciebie byłoby czymś jeszcze gorszym! Ale pamiętaj, że {s11} odbierze to jako straszny cios dla swojej pozycji i zrobi wszystko, co w jego mocy, aby cię dopaść.
dlga_lady_elope_agree:lady_elope_agree_nurse|Szybko! Nie mamy czasu do stracenia.
dlga_lady_elope_agree:close_window|Wszystko co w jego mocy? Pozwól, że jeszcze się nad tym zastanowię...
dlga_lady_elope_agree_nurse:lady_elope_agree_lady_vows|Czy chcielibyście, abym był świadkiem waszej przysięgi małżeńskiej?
dlga_lady_elope_agree_lady_vows:lady_elope_agree_nurse_2|Tak. Moja przysięga brzmi następująco: Ja, {s4}, biorę ciebie, {playername}, za męża zgodnie ze starożytnym prawem i zwyczajem tych ziem...
dlga_lady_elope_agree_nurse_2:lady_elope_agree_player_vows|Doskonale. Czy ty, {playername}, bierzesz {s4} za żonę?
dlga_lady_elope_agree_player_vows:close_window|Tak.
dlga_lady_elope_agree_player_vows:close_window.1|Co jest? To wszystko dzieje się zbyt szybko.
dlga_lady_elope_agree:lady_conclude_relationship|Naprawdę? Nigdy nie mógłbym się przyczynić do oddzielenia damy od jej rodziny...
dlga_lady_conclude_relationship:lady_conclude_relationship_confirm|Zatem nasz czas dobiegł końca...
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_yes|Tak musi być.
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_no|Czekaj, być może jest dla nas jeszcze jakaś szansa.
dlga_lady_conclude_relationship_confirm_yes:close_window|Żegnaj, {playername}. Będziemy się widywali na dworach i w zamkach królestwa, ale musimy zachować między nami dystans. Z czułością wspominać będę te dni. 
dlga_lady_conclude_relationship_confirm_no:close_window|W takim razie zobaczymy, co przyniesie czas.
dlga_lady_generic_mission_succeeded:lady_pretalk|Zawsze służę z honorem, {s65}.
dlga_lady_premeet:lady_meet|Jestem {playername}.
dlga_lady_premeet:lady_meet.1|Jestem {playername}. Do usług.
dlga_lady_meet:lady_meet_end|Oczywiście. Jak cudownie jest wreszcie się z tobą spotkać.
dlga_lady_meet:lady_meet_end.1|{playername}? Nie wydaje mi się, żebym wcześniej o tobie słyszała.
dlga_lady_meet_end:lady_talk|Chciałam udać się na spoczynek, ale być może będzie nam dane porozmawiać później...
dlga_lady_meet_end:lady_talk.1|Teraz, jeśli wybaczysz...
dlga_lady_meet_end:lady_talk.2|Czy mogę ci w czymś pomóc?
dlga_lady_talk:lord_talk_ask_location|Poszukuję pewnej osoby. Możesz mi pomóc?
dlga_lady_pretalk:lady_talk|Teraz, jeśli wybaczysz...
dlga_lady_pretalk:lady_talk.1|Coś jeszcze?
dlga_lady_talk:lady_relations|Czy dostąpię zaszczytu dowiedzenia się czegoś więcej o tobie, moja pani?
dlga_lady_relations:lady_pretalk|{s12}
dlga_lady_talk:lady_profess_admiration|Moja pani, chciałbym stwierdzić, że jestem twoim najbardziej żarliwym wielbicielem.
dlga_lady_talk:lady_tournament_dedication_reaction|Moja pani, moje zwycięstwo na ostatnim turnieju chciałbym zadedykować tobie.
dlga_lady_tournament_dedication_reaction:lady_pretalk|{s9}
dlga_lady_profess_admiration:close_window|{s11}Radość wielką mi sprawi, jeśli będziemy mogli widywać się częściej.
dlga_lady_profess_admiration:lady_pretalk|Ach... Jesteś zbyt uprzejmy... Robi się późno, prawda? Naprawdę muszę już iść.
dlga_lady_talk:lady_recite_poetry|Lubisz poezję, moja pani?
dlga_lady_recite_poetry:lady_recite_poetry|To zależy od wiersza. Czy chciałbyś zarecytować fragment?
dlga_lady_recite_poetry:lady_recite_poetry_response|Wiatr, co omiata stepowy pył...
dlga_lady_recite_poetry:lady_recite_poetry_response.1|Cały jedwab Veluki/Wszystkie futra Khudan...
dlga_lady_recite_poetry:lady_recite_poetry_response.2|Jesteś pierwszą i ostatnią/opoką i wnętrzem...
dlga_lady_recite_poetry:lady_recite_poetry_response.3|Promień przebił mrok nad klifami Wercheg...
dlga_lady_recite_poetry:lady_recite_poetry_response.4|Odbijam ciosy jej sceptycznej niepewności/zbroją, zrobioną z czystego oddania...
dlga_lady_recite_poetry:lady_pretalk|Prawdę mówiąc, nic mi nie przychodzi do głowy...
dlga_lady_recite_poetry_response:lady_private_conversation_end|{s11}
dlga_lady_private_conversation_end:lady_pretalk|Czas biegnie szybko, a my nie możemy pozostać tu zbyt długo.
dlga_lady_talk:lady_marriage_discussion|Czy sądzisz, moja pani, że jest nam pisana jakaś przyszłość razem?
dlga_lady_marriage_discussion:lady_other_suitor|Panie, jak zapewne wiesz, przyjmowałam konkury licznych dżentelmenów takich jak ty. Nie jestem jeszcze na etapie, w którym mogłabym podjąć decyzję.
dlga_lady_marriage_discussion:lady_proposal_refused|Cieszy mnie, że poważnie myślisz o przyszłości. Lecz chciałabym, abyś osiągnął w świecie nieco więcej, zanim podejmę decyzję o wyjściu za ciebie.
dlga_lady_marriage_discussion:lady_proposal_refused.1|Cieszy mnie, że twoje intencje są szlachetne. Jednak powzięłam decyzję, aby wyjść za mężczyznę o niezłomnej moralności. Chciałabym, abyś dowiódł swej wartości w tym względzie.
dlga_lady_marriage_discussion:lady_proposal_refused.2|Panie, cieszy mnie, że twoje intencje wobec mnie są szlachetne. Myślę jednak, że powinniśmy dać naszym uczuciom trochę czasu. Niech staną się mocne i pewne - wtedy podejmiemy wiążące decyzje.
dlga_lady_marriage_discussion:lady_betrothed|Och, {playername}, jakże byłabym szczęśliwa! Lecz mój {s11} {s4} nigdy na to nie pozwoli... Może lepiej będzie, jeśli się rozstaniemy...
dlga_lady_marriage_discussion:close_window|Och, {playername}, jakże byłabym szczęśliwa! Sprawdź, czy {s11} {s4} wyraża zgodę!
dlga_lady_proposal_refused:lady_proposal_refused_persuade_check|Być może uda mi się cię przekonać, by dłużej już nie zwlekać.
dlga_lady_proposal_refused_persuade_check:lady_proposal_refused_persuade_player_response|Co masz do powiedzenia?
dlga_lady_proposal_refused_persuade_player_response:lady_proposal_refused_persuade_result|Miłość jest jak róża, ma pani. Nie podlewana, w końcu zwiędnie.
dlga_lady_proposal_refused_persuade_player_response:lady_pretalk|Oh, nieważne.
dlga_lady_proposal_refused_persuade_result:close_window|Dość, mój panie! Nikt mnie do małżeństwa, czy to z tobą czy z kimkolwiek innym, przymuszać nie będzie. Rozgniewał mnie pan i zdenerwował. Proszę mnie teraz opuścić. Dam znać, gdy będę gotowa znowu rozmawiać.
